date,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2019-04-11,20819.97999,19504.00004,19500.0,20819.97999,11485131.39854657,574.48381579,6961,19992.088694
2019-04-10,20480.0,20682.59675,20405.26001,21100.0,9270250.93833501,448.0592504,6257,20689.78808061
2019-04-09,20887.0,20573.0,20351.0,20898.99,8937228.24951603,434.61033751,5483,20563.77282859
2019-04-08,20470.0,20887.0,20300.0,20899.0,8897903.32641765,433.41851458,7651,20529.58751667
2019-04-07,20079.0,20470.0,20000.0,20500.0,2727561.8814697,134.87810091,2932,20222.42204677
2019-04-06,19865.0,20079.0,19657.0,20350.0,3052356.89185196,152.44319189,3477,20022.91380814
2019-04-05,19294.99999,19865.0,19009.0,20000.0,7268414.70230856,370.01510496,5823,19643.56212726
2019-04-04,19351.00901,19295.0,18765.43002,19949.98,9107625.84057477,471.35969346,6756,19322.02936937
2019-04-03,19479.88999,19474.99976999,18001.0,20999.9,16799895.26191303,845.64902823,12171,19866.27395182
2019-04-02,16518.69886,19479.89,16419.00017,19990.0,15692299.91002463,844.5061036000002,11831,18581.62995285
2019-04-01,16451.95642999,16410.00002,16182.00001,16580.0,8253940.11104824,503.58096699,4764,16390.49259622
2019-03-31,16484.0,16451.95642999,16352.97,16649.0,1398312.28636155,84.7669604,2453,16495.95880002
2019-03-30,16414.09,16486.0,16230.03,16499.99,1529624.5262767,93.3556353,3310,16384.91903955
2019-03-29,15877.0,16414.09,15875.98976,16479.9,5729778.40400581,353.50622474,5160,16208.42294423
2019-03-28,16139.08885,15876.92052,15781.98176,16199.0,5700108.04750939,355.58583382,3872,16030.18879091
2019-03-27,15497.00205,16139.34938,15472.0,16250.0,5201834.23314023,326.45346292,4465,15934.38215239
2019-03-26,15500.00001,15497.00205,15200.0,15618.94534,4636714.86744037,300.44741244,3804,15432.7002845
2019-03-25,15905.02,15500.0,15222.00001,16049.98,6896164.76363831,441.59167916,4235,15616.60939073
2019-03-24,15950.2,15960.0,15903.9,16049.999930000002,417501.00547452,26.14915299,809,15966.13877452
2019-03-23,15990.29,15950.2,15900.01,16286.0,1919301.44260005,119.38807794,2853,16076.15664576
2019-03-22,15539.1,15990.0,15410.15,15990.0,3984543.36656315,253.36846957,4593,15726.27949059
2019-03-21,15500.0,15432.00001,15340.0,15600.0,4432241.14722401,286.56644460000007,3646,15466.71367406
2019-03-20,15370.0,15413.05,15295.0,15530.0,4411883.21908198,286.20782326,3538,15414.96374497
2019-03-19,15311.0,15400.0,15210.00001,15510.0,6091370.31792058,396.31107825,4156,15370.17421975
